"","Income","Phone_type","Car_type"
"1",89800,"Android","Luxury"
"2",47500,"Android","Non-Luxury"
"3",45000,"iPhone","Luxury"
"4",44700,"","Luxury"
"5",59500,"iPhone","Luxury"
"6",NA,"Android","Non-Luxury"
"7",63300,"iPhone","Non-Luxury"
"8",52900,"Android","Luxury"
"9",78200,"Android","Luxury"
"10",145100,"iPhone","Luxury"
"11",88600,"iPhone","Non-Luxury"
"12",65600,"iPhone","Luxury"
"13",NA,"Android","Non-Luxury"
"14",94600,"Android","Luxury"
"15",59400,"iPhone","Luxury"
"16",47300,"iPhone","Non-Luxury"
"17",72100,"","Luxury"
"18",0,"iPhone","Non-Luxury"
"19",0,"Android","Luxury"
"20",83000,"iPhone","Luxury"
"21",64100,"Android","Non-Luxury"
"22",42100,"iPhone","Non-Luxury"
"23",0,"iPhone","Luxury"
"24",91500,"iPhone","Non-Luxury"
"25",51200,"Android","Luxury"
"26",13800,"iPhone","Non-Luxury"
"27",47500,"iPhone","Non-Luxury"
